site,study_design,species,abbr,year,n_inds,n_leaf,w_weight,d_weight,total.leaf.area,n,leaf_area,SLA,LDMC,sd_la_filt,n_filt
A16,ITV,Vaccinium vitis-idaea,VACVIT,2021,4,12,0.198,0.0933,5.848,12,0.48733333333333334,62.67952840300107,0.47121212121212114,0.109321322326212,12
A16,ITV,Vaccinium myrtillus,VACMYR,2021,4,8,0.0313,0.0141,2.046,8,0.25575,145.1063829787234,0.45047923322683703,0.0958208894612383,8
A15,ITV,Solidago virgaurea,SOLVIR,2021,4,4,0.3452,0.0757,25.215,4,6.30375,333.0911492734478,0.21929316338354576,2.00755130694087,4
A15,ITV,Vaccinium vitis-idaea,VACVIT,2021,4,8,0.2222,0.1001,6.363,8,0.795375,63.566433566433574,0.45049504950495045,0.345670750653194,8
A15,ITV,Vaccinium uliginosum,VACULI,2021,4,8,0.0925,0.0363,6.202,8,0.77525,170.85399449035813,0.3924324324324324,0.230300269834219,8
A15,ITV,Vaccinium myrtillus,VACMYR,2021,4,8,0.0838,0.0339,6.26,8,0.7825,184.66076696165192,0.4045346062052506,0.171700736332559,8
A22,ITV,Solidago virgaurea,SOLVIR,2021,2,2,0.1962,0.0441,13.02,2,6.51,295.23809523809524,0.22477064220183485,0.10040916292849,2
A22,ITV,Vaccinium myrtillus,VACMYR,2021,4,8,0.0965,0.0374,7.77,8,0.97125,207.75401069518713,0.38756476683937824,0.403888156371467,8
A22,ITV,Vaccinium vitis-idaea,VACVIT,2021,4,8,0.3151,0.1548,8.727,8,1.090875,56.37596899224807,0.49127261186924787,0.359396095654124,8
A2,ITV,Solidago virgaurea,SOLVIR,2021,4,4,0.5388,0.1105,33.746,4,8.4365,305.39366515837105,0.20508537490720122,3.84857848215849,4
A2,ITV,Vaccinium myrtillus,VACMYR,2021,4,8,0.0834,0.0338,6.137,8,0.767125,181.5680473372781,0.4052757793764988,0.11578112046937,8
A2,ITV,Vaccinium vitis-idaea,VACVIT,2021,4,8,0.1177,0.0531,3.711,8,0.463875,69.88700564971751,0.45114698385726426,0.0982263239375562,8
A18,ITV,Solidago virgaurea,SOLVIR,2021,3,3,0.4388,0.0735,19.941,3,6.646999999999999,271.3061224489796,0.16750227894257064,0.393188250078763,3
A18,ITV,Vaccinium myrtillus,VACMYR,2021,4,8,0.079,0.0324,5.639,8,0.704875,174.04320987654322,0.410126582278481,0.306567837983234,8
A18,ITV,Vaccinium vitis-idaea,VACVIT,2021,4,8,0.1765,0.0795,5.025,8,0.628125,63.20754716981133,0.45042492917847027,0.0900657497926614,8
A7,ITV,Vaccinium vitis-idaea,VACVIT,2021,4,8,0.2383,0.1147,6.72,8,0.84,58.58761987794246,0.48132605958875363,0.212240429701789,8
A7,ITV,Vaccinium myrtillus,VACMYR,2021,4,8,0.0967,0.0395,6.112,8,0.764,154.73417721518987,0.4084798345398139,0.176476627347646,8
A9,ITV,Solidago virgaurea,SOLVIR,2021,4,4,0.733,0.0886,46.265,4,11.56625,522.1783295711061,0.1208731241473397,3.62799920755228,4
A9,ITV,Vaccinium myrtillus,VACMYR,2021,4,8,0.0832,0.0337,6.404,8,0.8005,190.02967359050444,0.4050480769230769,0.235807427485105,8
A9,ITV,Vaccinium vitis-idaea,VACVIT,2021,4,8,0.2245,0.0869,8.381,8,1.047625,96.44418872266974,0.3870824053452116,0.215859039653196,8
A19,ITV,Solidago virgaurea,SOLVIR,2021,4,4,0.3936,0.1539,24.498,4,6.1245,159.1812865497076,0.39100609756097565,1.73667834289101,4
A19,ITV,Vaccinium myrtillus,VACMYR,2021,4,8,0.0736,0.0307,5.486,8,0.68575,178.6970684039088,0.41711956521739135,0.104654192462605,8
A19,ITV,Vaccinium vitis-idaea,VACVIT,2021,4,8,0.2178,0.0935,6.488,8,0.811,69.3903743315508,0.4292929292929293,0.125652582259862,8
A8,ITV,Solidago virgaurea,SOLVIR,2021,4,4,0.3664,0.0812,24.706,4,6.1765,304.2610837438424,0.22161572052401746,0.514177984748472,4
A8,ITV,Vaccinium vitis-idaea,VACVIT,2021,4,8,0.2414,0.1135,7.518,8,0.93975,66.23788546255506,0.47017398508699254,0.448528944757988,8
A8,ITV,Vaccinium uliginosum,VACULI,2021,4,8,0.1714,0.0657,9.831,8,1.228875,149.63470319634703,0.38331388564760793,0.21221918420081,8
A6,ITV,Vaccinium vitis-idaea,VACVIT,2021,4,8,0.1478,0.0589,4.735,8,0.591875,80.3904923599321,0.39851150202977,0.166343394819271,8
A6,ITV,Vaccinium myrtillus,VACMYR,2021,4,8,0.0755,0.0337,5.6,8,0.7,166.1721068249258,0.44635761589403977,0.136017855970667,8
A10,ITV,Solidago virgaurea,SOLVIR,2021,1,1,0.1088,0.022,7.034,1,7.034,319.72727272727275,0.20220588235294118,NA,1
A10,ITV,Vaccinium myrtillus,VACMYR,2021,4,8,0.0913,0.0393,6.707,8,0.838375,170.6615776081425,0.43044906900328583,0.273847161491849,8
A10,ITV,Vaccinium vitis-idaea,VACVIT,2021,4,8,0.16,0.0667,5.562,8,0.69525,83.38830584707647,0.41687499999999994,0.17703167593884,8
A17,ITV,Vaccinium myrtillus,VACMYR,2021,4,8,0.0812,0.0342,5.486,8,0.68575,160.40935672514618,0.42118226600985226,0.418174519275659,8
A17,ITV,Vaccinium vitis-idaea,VACVIT,2021,4,8,0.2673,0.1354,6.775,8,0.846875,50.03692762186116,0.5065469509913955,0.185049366000381,8
A1,ITV,Solidago virgaurea,SOLVIR,2021,4,4,0.5491,0.1089,32.165,4,8.04125,295.36271808999084,0.1983245310508104,2.22354947100351,4
A1,ITV,Vaccinium vitis-idaea,VACVIT,2021,3,6,0.1419,0.0652,4.029,6,0.6715,61.79447852760737,0.45947850599013385,0.291905978013469,6
A1,ITV,Vaccinium myrtillus,VACMYR,2021,4,8,0.074,0.0287,5.694,8,0.71175,198.39721254355402,0.3878378378378379,0.20826682747997,8
A14,ITV,Solidago virgaurea,SOLVIR,2021,4,4,0.3002,0.0666,19.458,4,4.8645,292.16216216216213,0.22185209860093272,0.751766586115664,4
A14,ITV,Vaccinium uliginosum,VACULI,2021,4,8,0.1258,0.0486,7.565,8,0.945625,155.6584362139918,0.3863275039745628,0.287077857781772,8
