plot,species,individual,height,flowers
A1,SOLVIR,1,10.1,0
A1,SOLVIR,2,8,0
A1,SOLVIR,3,12.5,0
A1,SOLVIR,4,11.2,0
A1,VACMYR,1,15.5,1
A1,VACMYR,2,13.5,1
A1,VACMYR,3,11.3,1
A1,VACMYR,4,9,1
A1,VACVIT,1,6.2,0
A1,VACVIT,2,5.3,0
A1,VACVIT,3,5,0
A1,VACVIT,4,6.4,0
A10,SOLVIR,1,12,0
A10,VACMYR,1,9.5,0
A10,VACMYR,2,11,1
A10,VACMYR,3,11.2,1
A10,VACMYR,4,9.5,0
A10,VACVIT,1,5.5,0
A10,VACVIT,2,8,0
A10,VACVIT,3,8.6,0
A10,VACVIT,4,4.2,0
A11,VACMYR,1,12,0
A11,VACMYR,2,12.3,1
A11,VACMYR,3,13.2,1
A11,VACMYR,4,11.6,0
A11,VACVIT,1,6.2,0
A11,VACVIT,2,4.5,0
A11,VACVIT,3,7.5,0
A11,VACVIT,4,7.8,0
A12,SOLVIR,1,8,0
A12,SOLVIR,2,7,0
A12,SOLVIR,3,12,0
A12,SOLVIR,4,13.8,0
A12,VACMYR,1,12.1,0
A12,VACMYR,2,14.3,1
A12,VACMYR,3,9.5,0
A12,VACMYR,4,11.2,0
A12,VACVIT,1,4.6,0
A12,VACVIT,2,8.2,0
A12,VACVIT,3,11,1
A12,VACVIT,4,5.7,0
A13,SOLVIR,1,6,0
A13,SOLVIR,2,11.8,0
A13,SOLVIR,3,7.4,0
A13,SOLVIR,4,7.6,0
A13,VACMYR,1,8.4,1
A13,VACMYR,2,9.3,0
A13,VACMYR,3,13.5,1
A13,VACMYR,4,9,0
A13,VACULI,1,8.1,1
A13,VACULI,2,19.2,1
A13,VACULI,3,11.7,0
A13,VACULI,4,11,0
A13,VACVIT,1,3.9,0
A13,VACVIT,2,5,0
A13,VACVIT,3,8.4,0
A13,VACVIT,4,5.4,0
A14,SOLVIR,1,5.6,0
A14,SOLVIR,2,8.5,0
A14,SOLVIR,3,6.6,0
A14,SOLVIR,4,10.4,0
A14,VACMYR,1,12,0
A14,VACMYR,2,9,0
A14,VACMYR,3,11,1
A14,VACMYR,4,8.2,1
A14,VACULI,1,17.3,0
A14,VACULI,2,14.8,0
A14,VACULI,3,18,1
A14,VACULI,4,10,0
A14,VACVIT,1,6.5,0
A14,VACVIT,2,7.2,1
A14,VACVIT,3,4.5,0
A14,VACVIT,4,8.2,1
A15,SOLVIR,1,9,0
A15,SOLVIR,2,8,0
A15,SOLVIR,3,14.2,0
A15,SOLVIR,4,11.1,0
A15,VACMYR,1,16.5,1
A15,VACMYR,2,13.2,1
A15,VACMYR,3,18.2,1
A15,VACMYR,4,17,1
A15,VACULI,1,13,0
A15,VACULI,2,9.5,0
A15,VACULI,3,13.3,0
A15,VACULI,4,8.8,0
A15,VACVIT,1,8.2,0
