canonical_species_name,canonical_name,trait,value,unit,latitude,longitude,refid,DataOrigin,DatasetID,DataID
Persicaria vivipara,Persicaria vivipara,height,0.106,m,46.0222222222222,11.0416666666667,TRY14,TRY,76,19
Persicaria vivipara,Persicaria vivipara,height,0.126,m,46.0222222222222,11.0416666666667,TRY14,TRY,76,19
Persicaria vivipara,Persicaria vivipara,height,0.274,m,46.0222222222222,11.0416666666667,TRY14,TRY,76,19
Solidago virgaurea,Solidago virgaurea,height,0.286,m,46.8458333333333,11.2902777777778,TRY14,TRY,76,19
Vaccinium myrtillus,Vaccinium myrtillus,height,0.114,m,46.8458333333333,11.2902777777778,TRY14,TRY,76,19
Vaccinium uliginosum,Vaccinium uliginosum,height,0.094,m,46.8458333333333,11.2902777777778,TRY14,TRY,76,19
Vaccinium vitis-idaea,Vaccinium vitis-idaea,height,0.1,m,46.8458333333333,11.2902777777778,TRY14,TRY,76,19
Vaccinium myrtillus,Vaccinium myrtillus,height,0.0995,m,57.25,-3.5,TRY14,TRY,76,19
Vaccinium myrtillus,Vaccinium myrtillus,height,0.0995,m,57.25,-3.5,TRY14,TRY,76,19
Vaccinium myrtillus,Vaccinium myrtillus,height,0.42,m,52.0158166333018,5.48655080672798,TRY232,TRY,88,19
Vaccinium myrtillus,Vaccinium myrtillus,height,0.3,m,52.0206165339789,5.42420751950402,TRY232,TRY,88,19
Vaccinium myrtillus,Vaccinium myrtillus,height,0.2,m,52.0600282628496,5.76019925571409,TRY232,TRY,88,19
Vaccinium myrtillus,Vaccinium myrtillus,height,0.27,m,52.0786512448462,5.8865095971342,TRY232,TRY,88,19
Vaccinium vitis-idaea,Vaccinium vitis-idaea,height,0.23,m,52.0452565443942,5.93768107883327,TRY232,TRY,88,19
Vaccinium myrtillus,Vaccinium myrtillus,height,0.11,m,52.0452565443942,5.93768107883327,TRY232,TRY,88,19
Betula nana,Betula nana,height,0.55,m,62.7833333333333,11.0333333333333,TRY106,TRY,45,19
Betula nana,Betula nana,height,0.1905,m,62.7833333333333,11.0333333333333,TRY106,TRY,45,504
Persicaria vivipara,Persicaria vivipara,height,0.25,m,62.7833333333333,11.0333333333333,TRY106,TRY,45,19
Persicaria vivipara,Persicaria vivipara,height,0.0324,m,62.7833333333333,11.0333333333333,TRY106,TRY,45,504
Vaccinium myrtillus,Vaccinium myrtillus,height,0.0973,m,62.7833333333333,11.0333333333333,TRY106,TRY,45,504
Vaccinium uliginosum,Vaccinium uliginosum,height,0.1091,m,62.7833333333333,11.0333333333333,TRY106,TRY,45,504
Vaccinium vitis-idaea,Vaccinium vitis-idaea,height,0.0804,m,62.7833333333333,11.0333333333333,TRY106,TRY,45,504
Betula nana,Betula nana,height,0.55,m,62.7833333333333,11.0333333333333,TRY106,TRY,45,19
Betula nana,Betula nana,height,0.1905,m,62.7833333333333,11.0333333333333,TRY106,TRY,45,504
Persicaria vivipara,Persicaria vivipara,height,0.25,m,62.7833333333333,11.0333333333333,TRY106,TRY,45,19
Persicaria vivipara,Persicaria vivipara,height,0.0324,m,62.7833333333333,11.0333333333333,TRY106,TRY,45,504
Vaccinium myrtillus,Vaccinium myrtillus,height,0.0973,m,62.7833333333333,11.0333333333333,TRY106,TRY,45,504
Vaccinium uliginosum,Vaccinium uliginosum,height,0.1091,m,62.7833333333333,11.0333333333333,TRY106,TRY,45,504
Vaccinium vitis-idaea,Vaccinium vitis-idaea,height,0.0804,m,62.7833333333333,11.0333333333333,TRY106,TRY,45,504
Betula nana,Betula nana,height,0.55,m,62.7,11.0833333333333,TRY106,TRY,45,19
Betula nana,Betula nana,height,0.1905,m,62.7,11.0833333333333,TRY106,TRY,45,504
Persicaria vivipara,Persicaria vivipara,height,0.25,m,62.7,11.0833333333333,TRY106,TRY,45,19
Persicaria vivipara,Persicaria vivipara,height,0.0324,m,62.7,11.0833333333333,TRY106,TRY,45,504
Vaccinium myrtillus,Vaccinium myrtillus,height,0.0973,m,62.7,11.0833333333333,TRY106,TRY,45,504
Vaccinium uliginosum,Vaccinium uliginosum,height,0.1091,m,62.7,11.0833333333333,TRY106,TRY,45,504
Vaccinium vitis-idaea,Vaccinium vitis-idaea,height,0.0804,m,62.7,11.0833333333333,TRY106,TRY,45,504
Betula nana,Betula nana,height,0.55,m,62.7,11.0833333333333,TRY106,TRY,45,19
Betula nana,Betula nana,height,0.1905,m,62.7,11.0833333333333,TRY106,TRY,45,504
Persicaria vivipara,Persicaria vivipara,height,0.25,m,62.7,11.0833333333333,TRY106,TRY,45,19
Persicaria vivipara,Persicaria vivipara,height,0.0324,m,62.7,11.0833333333333,TRY106,TRY,45,504
Vaccinium myrtillus,Vaccinium myrtillus,height,0.0973,m,62.7,11.0833333333333,TRY106,TRY,45,504
Vaccinium uliginosum,Vaccinium uliginosum,height,0.1091,m,62.7,11.0833333333333,TRY106,TRY,45,504
Vaccinium vitis-idaea,Vaccinium vitis-idaea,height,0.0804,m,62.7,11.0833333333333,TRY106,TRY,45,504
Vaccinium myrtillus,Vaccinium myrtillus,height,0.3,m,58.8333333333333,17.4,TRY106,TRY,45,19
Vaccinium vitis-idaea,Vaccinium vitis-idaea,height,0.15,m,58.8333333333333,17.4,TRY106,TRY,45,19
Vaccinium vitis-idaea,Vaccinium vitis-idaea,height,0.077,m,58.8333333333333,17.4,TRY106,TRY,45,504
Vaccinium myrtillus,Vaccinium myrtillus,height,0.3,m,58.8333333333333,17.4,TRY106,TRY,45,19
Vaccinium vitis-idaea,Vaccinium vitis-idaea,height,0.15,m,58.8333333333333,17.4,TRY106,TRY,45,19
Vaccinium vitis-idaea,Vaccinium vitis-idaea,height,0.077,m,58.8333333333333,17.4,TRY106,TRY,45,504
Vaccinium myrtillus,Vaccinium myrtillus,height,0.3,m,58.8333333333333,17.4,TRY106,TRY,45,19
Persicaria vivipara,Persicaria vivipara,height,0.2,m,58.8333333333333,17.4,TRY106,TRY,45,19
Vaccinium myrtillus,Vaccinium myrtillus,height,0.3,m,58.8333333333333,17.4,TRY106,TRY,45,19
Vaccinium vitis-idaea,Vaccinium vitis-idaea,height,0.15,m,58.8333333333333,17.4,TRY106,TRY,45,19
Vaccinium vitis-idaea,Vaccinium vitis-idaea,height,0.077,m,58.8333333333333,17.4,TRY106,TRY,45,504
Solidago virgaurea,Solidago virgaurea,height,0.07,m,42.51,13.17,TRY47,TRY,161,19
Solidago virgaurea,Solidago virgaurea,height,0.07,m,42.51,13.17,TRY47,TRY,161,19
Solidago virgaurea,Solidago virgaurea,height,0.04,m,42.51,13.17,TRY47,TRY,161,19
Solidago virgaurea,Solidago virgaurea,height,0.11,m,42.51,13.17,TRY47,TRY,161,19
Solidago virgaurea,Solidago virgaurea,height,0.09,m,42.51,13.17,TRY47,TRY,161,19
Solidago virgaurea,Solidago virgaurea,height,0.06,m,42.51,13.17,TRY47,TRY,161,19
Solidago virgaurea,Solidago virgaurea,height,0.1,m,42.51,13.17,TRY47,TRY,161,19
Solidago virgaurea,Solidago virgaurea,height,0.07,m,42.56,13.09,TRY47,TRY,161,19
Solidago virgaurea,Solidago virgaurea,height,0.06,m,42.56,13.09,TRY47,TRY,161,19
Solidago virgaurea,Solidago virgaurea,height,0.06,m,42.56,13.09,TRY47,TRY,161,19
Solidago virgaurea,Solidago virgaurea,height,0.07,m,42.56,13.09,TRY47,TRY,161,19
Solidago virgaurea,Solidago virgaurea,height,0.07,m,42.56,13.09,TRY47,TRY,161,19
Solidago virgaurea,Solidago virgaurea,height,0.07,m,42.56,13.09,TRY47,TRY,161,19
Solidago virgaurea,Solidago virgaurea,height,0.05,m,42.56,13.09,TRY47,TRY,161,19
Solidago virgaurea,Solidago virgaurea,height,0.06,m,42.56,13.09,TRY47,TRY,161,19
Solidago virgaurea,Solidago virgaurea,height,0.05,m,42.56,13.09,TRY47,TRY,161,19
Solidago virgaurea,Solidago virgaurea,height,0.07,m,42.56,13.09,TRY47,TRY,161,19
Solidago virgaurea,Solidago virgaurea,height,0.08,m,42.59,13.12,TRY47,TRY,161,19
Solidago virgaurea,Solidago virgaurea,height,0.09,m,42.59,13.12,TRY47,TRY,161,19
Solidago virgaurea,Solidago virgaurea,height,0.16,m,42.59,13.12,TRY47,TRY,161,19
Solidago virgaurea,Solidago virgaurea,height,0.2,m,42.59,13.12,TRY47,TRY,161,19
Solidago virgaurea,Solidago virgaurea,height,0.1,m,42.59,13.12,TRY47,TRY,161,19
Solidago virgaurea,Solidago virgaurea,height,0.09,m,42.59,13.12,TRY47,TRY,161,19
Solidago virgaurea,Solidago virgaurea,height,0.12,m,42.59,13.12,TRY47,TRY,161,19
Solidago virgaurea,Solidago virgaurea,height,0.1,m,42.59,13.12,TRY47,TRY,161,19
Solidago virgaurea,Solidago virgaurea,height,0.13,m,42.59,13.12,TRY47,TRY,161,19
Solidago virgaurea,Solidago virgaurea,height,0.13,m,42.59,13.12,TRY47,TRY,161,19
Solidago virgaurea,Solidago virgaurea,height,0.07,m,42.51,13.17,TRY47,TRY,220,19
Solidago virgaurea,Solidago virgaurea,height,0.07,m,42.51,13.17,TRY47,TRY,220,19
Solidago virgaurea,Solidago virgaurea,height,0.04,m,42.51,13.17,TRY47,TRY,220,19
Solidago virgaurea,Solidago virgaurea,height,0.11,m,42.51,13.17,TRY47,TRY,220,19
Solidago virgaurea,Solidago virgaurea,height,0.09,m,42.51,13.17,TRY47,TRY,220,19
Solidago virgaurea,Solidago virgaurea,height,0.06,m,42.51,13.17,TRY47,TRY,220,19
Solidago virgaurea,Solidago virgaurea,height,0.1,m,42.51,13.17,TRY47,TRY,220,19
Solidago virgaurea,Solidago virgaurea,height,0.07,m,42.56,13.09,TRY47,TRY,220,19
Solidago virgaurea,Solidago virgaurea,height,0.06,m,42.56,13.09,TRY47,TRY,220,19
Solidago virgaurea,Solidago virgaurea,height,0.06,m,42.56,13.09,TRY47,TRY,220,19
Solidago virgaurea,Solidago virgaurea,height,0.07,m,42.56,13.09,TRY47,TRY,220,19
Solidago virgaurea,Solidago virgaurea,height,0.07,m,42.56,13.09,TRY47,TRY,220,19
Solidago virgaurea,Solidago virgaurea,height,0.07,m,42.56,13.09,TRY47,TRY,220,19
Solidago virgaurea,Solidago virgaurea,height,0.05,m,42.56,13.09,TRY47,TRY,220,19
Solidago virgaurea,Solidago virgaurea,height,0.06,m,42.56,13.09,TRY47,TRY,220,19
Solidago virgaurea,Solidago virgaurea,height,0.05,m,42.56,13.09,TRY47,TRY,220,19
Solidago virgaurea,Solidago virgaurea,height,0.07,m,42.56,13.09,TRY47,TRY,220,19
Solidago virgaurea,Solidago virgaurea,height,0.08,m,42.59,13.12,TRY47,TRY,220,19
Solidago virgaurea,Solidago virgaurea,height,0.09,m,42.59,13.12,TRY47,TRY,220,19
Solidago virgaurea,Solidago virgaurea,height,0.16,m,42.59,13.12,TRY47,TRY,220,19
Solidago virgaurea,Solidago virgaurea,height,0.2,m,42.59,13.12,TRY47,TRY,220,19
Solidago virgaurea,Solidago virgaurea,height,0.1,m,42.59,13.12,TRY47,TRY,220,19
Solidago virgaurea,Solidago virgaurea,height,0.09,m,42.59,13.12,TRY47,TRY,220,19
Solidago virgaurea,Solidago virgaurea,height,0.12,m,42.59,13.12,TRY47,TRY,220,19
Solidago virgaurea,Solidago virgaurea,height,0.1,m,42.59,13.12,TRY47,TRY,220,19
Solidago virgaurea,Solidago virgaurea,height,0.13,m,42.59,13.12,TRY47,TRY,220,19
Solidago virgaurea,Solidago virgaurea,height,0.13,m,42.59,13.12,TRY47,TRY,220,19
Persicaria vivipara,Persicaria vivipara,height,0.02,m,43.21902472723,-4.98550169751,TRY207,TRY,200,504
Persicaria vivipara,Persicaria vivipara,height,0.03,m,43.21902472723,-4.98550169751,TRY207,TRY,200,504
Persicaria vivipara,Persicaria vivipara,height,0.04,m,43.21902472723,-4.98550169751,TRY207,TRY,200,504
Persicaria vivipara,Persicaria vivipara,height,0.05,m,43.21902472723,-4.98550169751,TRY207,TRY,200,504
Persicaria vivipara,Persicaria vivipara,height,0.045,m,43.21902472723,-4.98550169751,TRY207,TRY,200,504
Vaccinium uliginosum,Vaccinium uliginosum,height,0.02,m,43.21902472723,-4.98550169751,TRY207,TRY,200,504
Vaccinium uliginosum,Vaccinium uliginosum,height,0.04,m,43.21902472723,-4.98550169751,TRY207,TRY,200,504
Vaccinium uliginosum,Vaccinium uliginosum,height,0.04,m,43.21902472723,-4.98550169751,TRY207,TRY,200,504
Vaccinium uliginosum,Vaccinium uliginosum,height,0.05,m,43.21902472723,-4.98550169751,TRY207,TRY,200,504
Vaccinium uliginosum,Vaccinium uliginosum,height,0.04,m,43.21902472723,-4.98550169751,TRY207,TRY,200,504
Vaccinium myrtillus,Vaccinium myrtillus,height,0.17,m,43.27957883765,-5.16509922609,TRY207,TRY,200,504
Vaccinium myrtillus,Vaccinium myrtillus,height,0.19,m,43.27957883765,-5.16509922609,TRY207,TRY,200,504
Vaccinium myrtillus,Vaccinium myrtillus,height,0.18,m,43.27957883765,-5.16509922609,TRY207,TRY,200,504
Vaccinium myrtillus,Vaccinium myrtillus,height,0.2,m,43.27957883765,-5.16509922609,TRY207,TRY,200,504
Vaccinium myrtillus,Vaccinium myrtillus,height,0.19,m,43.27957883765,-5.16509922609,TRY207,TRY,200,504
Persicaria vivipara,Persicaria vivipara,height,0.0443333333333333,m,40.05,-105.58,TRY298,TRY,256,19
Solidago virgaurea,Solidago virgaurea,height,0.2,m,66,70,TRY276,TRY,251,1937
Betula nana,Betula nana subsp. exilis,height,0.8,m,68,100,TRY276,TRY,251,1937
Betula nana,Betula nana,height,0.8,m,66,60,TRY276,TRY,251,1937
Vaccinium uliginosum,Vaccinium uliginosum,height,0.2,m,69,95,TRY276,TRY,251,1937
Solidago virgaurea,Solidago virgaurea,height,0.4,m,46,8,TRY276,TRY,251,1937
Vaccinium uliginosum,Vaccinium uliginosum,height,0.2,m,46,8,TRY276,TRY,251,1937
Vaccinium myrtillus,Vaccinium myrtillus,height,0.2,m,46,10,TRY276,TRY,251,1937
Vaccinium vitis-idaea,Vaccinium vitis-idaea,height,0.2,m,46,8,TRY276,TRY,251,1937
Persicaria vivipara,Persicaria vivipara,height,0.2,m,46,8,TRY276,TRY,251,1937
Vaccinium myrtillus,Vaccinium myrtillus,height,0.09825,m,45.179,5.219,TRY111,TRY,310,19
Persicaria vivipara,Persicaria vivipara,height,0.175,m,45.0333,6.35,TRY111,TRY,310,3871
Persicaria vivipara,Persicaria vivipara,height,0.1305,m,45.0333,6.35,TRY111,TRY,310,19
Persicaria vivipara,Persicaria vivipara,height,0.1155,m,45.0333,6.35,TRY111,TRY,310,19
Vaccinium myrtillus,Vaccinium myrtillus,height,0.3,m,45.0333,6.35,TRY111,TRY,310,3871
