plot,species,abbr,leaf_area,leaf_id
A1,Solidago virgaurea,SOLVIR,700.8,1
A1,Solidago virgaurea,SOLVIR,1084.7,2
A1,Solidago virgaurea,SOLVIR,568.5,3
A1,Solidago virgaurea,SOLVIR,862.5,4
A1,Vaccinium myrtillus,VACMYR,48.699999999999996,1
A1,Vaccinium myrtillus,VACMYR,102.89999999999999,2
A1,Vaccinium myrtillus,VACMYR,99.8,3
A1,Vaccinium myrtillus,VACMYR,49.7,4
A1,Vaccinium myrtillus,VACMYR,60.4,5
A1,Vaccinium myrtillus,VACMYR,72.89999999999999,6
A1,Vaccinium myrtillus,VACMYR,74.5,7
A1,Vaccinium myrtillus,VACMYR,60.5,8
A1,Vaccinium vitis-idaea,VACVIT,107.89999999999999,1
A1,Vaccinium vitis-idaea,VACVIT,52.1,2
A1,Vaccinium vitis-idaea,VACVIT,43.8,3
A1,Vaccinium vitis-idaea,VACVIT,43.4,4
A1,Vaccinium vitis-idaea,VACVIT,55.1,5
A1,Vaccinium vitis-idaea,VACVIT,100.6,6
A10,Solidago virgaurea,SOLVIR,703.4,1
A10,Vaccinium myrtillus,VACMYR,99.7,1
A10,Vaccinium myrtillus,VACMYR,104.2,2
A10,Vaccinium myrtillus,VACMYR,91.9,3
A10,Vaccinium myrtillus,VACMYR,42.5,4
A10,Vaccinium myrtillus,VACMYR,62.4,5
A10,Vaccinium myrtillus,VACMYR,117,6
A10,Vaccinium myrtillus,VACMYR,52.6,7
A10,Vaccinium myrtillus,VACMYR,100.4,8
A10,Vaccinium vitis-idaea,VACVIT,59.3,1
A10,Vaccinium vitis-idaea,VACVIT,57.199999999999996,2
A10,Vaccinium vitis-idaea,VACVIT,94.1,3
A10,Vaccinium vitis-idaea,VACVIT,72.3,4
A10,Vaccinium vitis-idaea,VACVIT,69,5
A10,Vaccinium vitis-idaea,VACVIT,41.3,6
A10,Vaccinium vitis-idaea,VACVIT,70.5,7
A10,Vaccinium vitis-idaea,VACVIT,92.5,8
A11,Vaccinium myrtillus,VACMYR,41.5,1
A11,Vaccinium myrtillus,VACMYR,35.3,2
A11,Vaccinium myrtillus,VACMYR,91.4,3
A11,Vaccinium myrtillus,VACMYR,48.1,4
A11,Vaccinium myrtillus,VACMYR,62.8,5
A11,Vaccinium myrtillus,VACMYR,88.5,6
A11,Vaccinium myrtillus,VACMYR,45.800000000000004,7
A11,Vaccinium myrtillus,VACMYR,46.400000000000006,8
A11,Vaccinium vitis-idaea,VACVIT,132.6,1
A11,Vaccinium vitis-idaea,VACVIT,109.7,2
A11,Vaccinium vitis-idaea,VACVIT,43.4,3
A11,Vaccinium vitis-idaea,VACVIT,60.5,4
A11,Vaccinium vitis-idaea,VACVIT,65.2,5
A11,Vaccinium vitis-idaea,VACVIT,50.1,6
A11,Vaccinium vitis-idaea,VACVIT,69.1,7
A11,Vaccinium vitis-idaea,VACVIT,79,8
A14,Solidago virgaurea,SOLVIR,407.9,1
A14,Solidago virgaurea,SOLVIR,473.29999999999995,2
A14,Solidago virgaurea,SOLVIR,588.9,3
A14,Solidago virgaurea,SOLVIR,475.7,4
A14,Vaccinium myrtillus,VACMYR,70.5,1
A14,Vaccinium myrtillus,VACMYR,75.7,2
A14,Vaccinium myrtillus,VACMYR,93.30000000000001,3
A14,Vaccinium myrtillus,VACMYR,160.5,4
A14,Vaccinium myrtillus,VACMYR,135.3,5
A14,Vaccinium myrtillus,VACMYR,89.9,6
A14,Vaccinium myrtillus,VACMYR,95.19999999999999,7
A14,Vaccinium myrtillus,VACMYR,112.4,8
A14,Vaccinium uliginosum,VACULI,118.9,1
A14,Vaccinium uliginosum,VACULI,78.3,2
A14,Vaccinium uliginosum,VACULI,109.60000000000001,3
A14,Vaccinium uliginosum,VACULI,56.10000000000001,4
A14,Vaccinium uliginosum,VACULI,72.39999999999999,5
A14,Vaccinium uliginosum,VACULI,90.9,6
A14,Vaccinium uliginosum,VACULI,145.6,7
A14,Vaccinium uliginosum,VACULI,84.7,8
A14,Vaccinium vitis-idaea,VACVIT,100.8,1
A14,Vaccinium vitis-idaea,VACVIT,74,2
A14,Vaccinium vitis-idaea,VACVIT,54.2,3
A14,Vaccinium vitis-idaea,VACVIT,69.69999999999999,4
A14,Vaccinium vitis-idaea,VACVIT,56.2,5
A14,Vaccinium vitis-idaea,VACVIT,59.8,6
A14,Vaccinium vitis-idaea,VACVIT,118.19999999999999,7
A14,Vaccinium vitis-idaea,VACVIT,72.8,8
A15,Solidago virgaurea,SOLVIR,647.7,1
A15,Solidago virgaurea,SOLVIR,513.3,2
A15,Solidago virgaurea,SOLVIR,454.5,3
A15,Solidago virgaurea,SOLVIR,906,4
A15,Vaccinium myrtillus,VACMYR,97.2,1
A15,Vaccinium myrtillus,VACMYR,50.2,2
A15,Vaccinium myrtillus,VACMYR,88.9,3
A15,Vaccinium myrtillus,VACMYR,61,4
A15,Vaccinium myrtillus,VACMYR,73.5,5
A15,Vaccinium myrtillus,VACMYR,97,6
A15,Vaccinium myrtillus,VACMYR,71,7
A15,Vaccinium myrtillus,VACMYR,87.2,8
A15,Vaccinium uliginosum,VACULI,96.6,1
A15,Vaccinium uliginosum,VACULI,75.6,2
A15,Vaccinium uliginosum,VACULI,52.6,3
A15,Vaccinium uliginosum,VACULI,49.4,4
A15,Vaccinium uliginosum,VACULI,114.1,5
A15,Vaccinium uliginosum,VACULI,96.7,6
A15,Vaccinium uliginosum,VACULI,71.5,7
A15,Vaccinium uliginosum,VACULI,63.7,8
A15,Vaccinium vitis-idaea,VACVIT,94.6,1
A15,Vaccinium vitis-idaea,VACVIT,95.89999999999999,2
A15,Vaccinium vitis-idaea,VACVIT,75,3
A15,Vaccinium vitis-idaea,VACVIT,38.5,4
A15,Vaccinium vitis-idaea,VACVIT,53.1,5
A15,Vaccinium vitis-idaea,VACVIT,50.7,6
A15,Vaccinium vitis-idaea,VACVIT,80.9,7
A15,Vaccinium vitis-idaea,VACVIT,147.6,8
A16,Vaccinium myrtillus,VACMYR,15,1
A16,Vaccinium myrtillus,VACMYR,19.3,2
A16,Vaccinium myrtillus,VACMYR,34.300000000000004,3
A16,Vaccinium myrtillus,VACMYR,16.900000000000002,4
A16,Vaccinium myrtillus,VACMYR,28.7,5
A16,Vaccinium myrtillus,VACMYR,19.400000000000002,6
A16,Vaccinium myrtillus,VACMYR,42.4,7
A16,Vaccinium myrtillus,VACMYR,28.599999999999998,8
A16,Vaccinium vitis-idaea,VACVIT,44.1,1
A16,Vaccinium vitis-idaea,VACVIT,61.1,2
A16,Vaccinium vitis-idaea,VACVIT,49.3,3
A16,Vaccinium vitis-idaea,VACVIT,55.00000000000001,4
A16,Vaccinium vitis-idaea,VACVIT,65.10000000000001,5
A16,Vaccinium vitis-idaea,VACVIT,45,6
A16,Vaccinium vitis-idaea,VACVIT,49.8,7
A16,Vaccinium vitis-idaea,VACVIT,36,8
A16,Vaccinium vitis-idaea,VACVIT,41.699999999999996,9
A16,Vaccinium vitis-idaea,VACVIT,50.9,10
A16,Vaccinium vitis-idaea,VACVIT,59.9,11
A16,Vaccinium vitis-idaea,VACVIT,26.900000000000002,12
A17,Vaccinium myrtillus,VACMYR,81.6,1
A17,Vaccinium myrtillus,VACMYR,27.400000000000002,2
A17,Vaccinium myrtillus,VACMYR,120.10000000000001,3
A17,Vaccinium myrtillus,VACMYR,33.2,4
A17,Vaccinium myrtillus,VACMYR,99.2,5
A17,Vaccinium myrtillus,VACMYR,30.099999999999998,6
A17,Vaccinium myrtillus,VACMYR,34.599999999999994,7
A17,Vaccinium myrtillus,VACMYR,122.39999999999999,8
A17,Vaccinium vitis-idaea,VACVIT,80.10000000000001,1
A17,Vaccinium vitis-idaea,VACVIT,68.7,2
A17,Vaccinium vitis-idaea,VACVIT,94.8,3
A17,Vaccinium vitis-idaea,VACVIT,71.89999999999999,4
A17,Vaccinium vitis-idaea,VACVIT,90.9,5
A17,Vaccinium vitis-idaea,VACVIT,76.9,6
A17,Vaccinium vitis-idaea,VACVIT,70.19999999999999,7
A17,Vaccinium vitis-idaea,VACVIT,124,8
A18,Solidago virgaurea,SOLVIR,683.6,1
A18,Solidago virgaurea,SOLVIR,691,2
A18,Solidago virgaurea,SOLVIR,619.5,3
A18,Vaccinium myrtillus,VACMYR,124.2,1
A18,Vaccinium myrtillus,VACMYR,50,2
A18,Vaccinium myrtillus,VACMYR,40.2,3
A18,Vaccinium myrtillus,VACMYR,40.8,4
A18,Vaccinium myrtillus,VACMYR,66.8,5
A18,Vaccinium myrtillus,VACMYR,82.6,6
A18,Vaccinium myrtillus,VACMYR,103.60000000000001,7
A18,Vaccinium myrtillus,VACMYR,55.7,8
A18,Vaccinium vitis-idaea,VACVIT,56.699999999999996,1
A18,Vaccinium vitis-idaea,VACVIT,60,2
A18,Vaccinium vitis-idaea,VACVIT,68.8,3
A18,Vaccinium vitis-idaea,VACVIT,70,4
A18,Vaccinium vitis-idaea,VACVIT,59.699999999999996,5
A18,Vaccinium vitis-idaea,VACVIT,74.4,6
A18,Vaccinium vitis-idaea,VACVIT,46.2,7
A18,Vaccinium vitis-idaea,VACVIT,66.7,8
A19,Solidago virgaurea,SOLVIR,516.6,1
A19,Solidago virgaurea,SOLVIR,860.8000000000001,2
A19,Solidago virgaurea,SOLVIR,473.00000000000006,3
A19,Solidago virgaurea,SOLVIR,599.4,4
A19,Vaccinium myrtillus,VACMYR,73.6,1
A19,Vaccinium myrtillus,VACMYR,79.5,2
A19,Vaccinium myrtillus,VACMYR,76.1,3
A19,Vaccinium myrtillus,VACMYR,65.7,4
A19,Vaccinium myrtillus,VACMYR,46.6,5
A19,Vaccinium myrtillus,VACMYR,64.9,6
A19,Vaccinium myrtillus,VACMYR,76,7
A19,Vaccinium myrtillus,VACMYR,66.2,8
A19,Vaccinium vitis-idaea,VACVIT,86.5,1
