plot,veg_median_h
A1,9
A10,11
A11,12
A12,10
A13,8
A14,10
A15,26
A16,5
A17,9
A18,7
A19,11
A2,17
A20,6
A21,7
A22,12
A23,13
A24,8
A25,10
A3,36
A4,11
A5,9
A6,7
A7,6
A8,7
A9,29
B1,15
B10,11
B11,13
B12,13
B13,19
B14,17
B15,14
B16,16
B17,11
B18,42
B19,8
B2,9
B20,14
B21,9
B22,8
B23,14
B24,14
B25,16
B3,8
B4,6
B5,5
B6,14
B7,12
B8,10
B9,14
C1,8
C10,17
C11,18
C12,27
C13,40
C14,22
C15,11
C16,8
C17,13
C18,10
C19,19
C2,6
C20,12
C21,11
C22,8
C23,12
C24,13
C25,8
C3,16
C4,9
C5,18
C6,12
C7,25
C8,15
C9,11
D1,6
D10,10
D11,18
D12,20
D13,18
D14,11
D15,10
D16,50
D17,10
D18,7
D19,29
D2,16
D20,15
D21,13
D22,5
D23,16
D24,28
D25,7
D3,29
D4,12
D5,11
D6,10
D7,15
D8,9
D9,13
E1,10
E10,6
E11,12
E12,11
E13,11
E14,6
E15,8
E16,7
E17,9
E18,3
E19,9
E2,13
E20,5
E21,5
E22,3
E23,6
E24,4
E25,7
E3,14
E4,18
E5,9
E6,15
E7,15
E8,10
E9,10
F1,8
F10,7
F11,5
F12,9
F13,9
F14,10
F15,25
F16,10
F17,3
F18,8
F19,9
F2,14
F20,30
F21,25
F22,8
F23,8
F24,30
F25,11
F3,23
F4,8
F5,6
F6,13
F7,15
F8,10
F9,13
