plot,TMS
a1,94213511
a2,94213522
a3,94213515
a4,94213514
a5,94213523
a6,94213513
a7,94217048
a8,94217047
a9,94217049
a10,94213524
a15,94213521
a14,94217046
a13,94213549
a12,94217050
a11,94213512
a16,94213546
a17,94213550
a18,94213547
a19,94213548
a20,94213525
a25,94217057
a24,94217056
a23,94217060
a22,94217058
a21,94217059
b1,94217027
b2,94217073
b3,94217074
b4,94217028
b5,94217031
b10,94217035
b9,94217071
b8,94217069
b7,94217067
b6,94217026
b11,94217038
b12,94217066
b13,94217068
b14,94217072
b15,94217032
b20,94217033
b19,94217029
b18,94217070
b17,94217075
b16,94217030
b21,94217036
b22,94217039
b23,94217040
b24,94217037
b25,94217034
c1,94212887
c2,94217006
c3,94217002
c4,94217004
c5,94217012
c10,94217003
c9,94217015
c8,94217013
c7,94217014
c6,94212886
c11,94212889
c12,94217009
c13,94217010
c14,94217007
c15,94212890
c20,94217001
c19,94217011
c18,94217008
c17,94217005
c16,94212888
c21,94212894
c22,94212895
c23,94212892
c24,94212893
c25,94212891
d1,94217062
d2,94212853
d3,94212855
d4,94213539
d5,94217080
d10,94212860
d9,94217077
d8,94212859
d7,94213540
d6,94217064
d11,94217065
d12,94213537
d13,94212858
d14,94217079
d15,94212856
d20,94213538
d19,94217078
d18,94212857
d17,94213536
d16,94217061
d21,94217063
d22,94212854
d23,94212851
d24,94212852
d25,94217076
e1,94213545
e2,94212882
e3,94217045
e4,94217041
e5,94217044
e10,94217024
e9,94212868
e8,94212869
e7,94212866
e6,94213544
e11,94213541
e12,94212867
e13,94217022
e14,94212870
e15,94217021
e20,94217023
e19,94217043
e18,94217042
e17,94217025
e16,94213543
e21,94213542
e22,94212884
e23,94212881
e24,94212883
e25,94212885
f1,94212875
f2,94217017
f3,94217052
f4,94217055
f5,94212872
f10,94213501
f9,94217020
f8,94213503
f7,94213504
f6,94212871
f11,94212874
f12,94217054
f13,94217051
f14,94217018
f15,94213505
f20,94213502
f19,94217016
f18,94217019
f17,94217053
f16,94212873
f21,94213526
f22,94213527
f23,94213528
f24,94213530
f25,94213529
