plot,species,abbr,n_inds,n_leaf,height,leaf_area,SLA,LDMC,w_weight,d_weight,total.leaf.area,n,sd_la_filt,n_filt,height_sd,flowers
A16,Vaccinium vitis-idaea,VACVIT,4,12,6.05,48.733333333333334,6.267952840300107,0.47121212121212114,0.198,0.0933,584.8,12,10.9321322326212,12,1.6134848413707927,0.25
A16,Vaccinium myrtillus,VACMYR,4,8,5.625,25.575,14.510638297872338,0.45047923322683703,0.0313,0.0141,204.6,8,9.58208894612383,8,0.7135591542869217,0.25
A15,Solidago virgaurea,SOLVIR,4,4,10.575,630.375,33.30911492734478,0.21929316338354576,0.3452,0.0757,2521.5,4,200.755130694087,4,2.740285873164817,0
A15,Vaccinium vitis-idaea,VACVIT,4,8,9.425,79.53750000000001,6.3566433566433576,0.45049504950495045,0.2222,0.1001,636.3000000000001,8,34.5670750653194,8,1.2473304828045106,0
A15,Vaccinium uliginosum,VACULI,4,8,11.15,77.525,17.085399449035812,0.3924324324324324,0.0925,0.0363,620.2,8,23.0300269834219,8,2.3302360395462087,0
A15,Vaccinium myrtillus,VACMYR,4,8,16.225,78.25,18.466076696165192,0.4045346062052506,0.0838,0.0339,626,8,17.1700736332559,8,2.1391197566600457,1
A22,Solidago virgaurea,SOLVIR,2,2,15.5,651,29.523809523809526,0.22477064220183485,0.1962,0.0441,1302,2,10.040916292849001,2,7.0710678118654755,0.5
A22,Vaccinium myrtillus,VACMYR,4,8,16.625,97.125,20.775401069518715,0.38756476683937824,0.0965,0.0374,777,8,40.3888156371467,8,4.472415454762673,1
A22,Vaccinium vitis-idaea,VACVIT,4,8,8.025,109.0875,5.637596899224807,0.49127261186924787,0.3151,0.1548,872.7,8,35.9396095654124,8,1.9568256607747831,0.5
A2,Solidago virgaurea,SOLVIR,4,4,11.100000000000001,843.6500000000001,30.539366515837106,0.20508537490720122,0.5388,0.1105,3374.6000000000004,4,384.857848215849,4,6.891057006487951,0
A2,Vaccinium myrtillus,VACMYR,4,8,18.2,76.71249999999999,18.15680473372781,0.4052757793764988,0.0834,0.0338,613.6999999999999,8,11.578112046937001,8,4.4173898778954674,0.75
A2,Vaccinium vitis-idaea,VACVIT,4,8,5.3,46.387499999999996,6.988700564971751,0.45114698385726426,0.1177,0.0531,371.09999999999997,8,9.82263239375562,8,0.5163977794943223,0
A18,Solidago virgaurea,SOLVIR,3,3,8.533333333333333,664.6999999999999,27.130612244897957,0.16750227894257064,0.4388,0.0735,1994.1,3,39.3188250078763,3,1.266227994214839,0
A18,Vaccinium myrtillus,VACMYR,4,8,12.275,70.4875,17.404320987654323,0.410126582278481,0.079,0.0324,563.9,8,30.6567837983234,8,2.574716812907134,0.25
A18,Vaccinium vitis-idaea,VACVIT,4,8,5.775,62.81250000000001,6.320754716981133,0.45042492917847027,0.1765,0.0795,502.50000000000006,8,9.006574979266139,8,1.3889444433333777,0
A7,Vaccinium vitis-idaea,VACVIT,4,8,6.35,84,5.858761987794246,0.48132605958875363,0.2383,0.1147,672,8,21.2240429701789,8,1.6299284237863532,0
A7,Vaccinium myrtillus,VACMYR,4,8,8.075,76.4,15.473417721518988,0.4084798345398139,0.0967,0.0395,611.2,8,17.647662734764598,8,2.526361019331956,0
A9,Solidago virgaurea,SOLVIR,4,4,12.175,1156.625,52.217832957110616,0.1208731241473397,0.733,0.0886,4626.5,4,362.79992075522796,4,2.631064423384574,0
A9,Vaccinium myrtillus,VACMYR,4,8,12.775,80.05,19.002967359050444,0.4050480769230769,0.0832,0.0337,640.4,8,23.5807427485105,8,2.1234798484249073,0.75
A9,Vaccinium vitis-idaea,VACVIT,4,8,10.7,104.7625,9.644418872266973,0.3870824053452116,0.2245,0.0869,838.1,8,21.5859039653196,8,2.312286026136617,0
A19,Solidago virgaurea,SOLVIR,4,4,12.6,612.45,15.918128654970761,0.39100609756097565,0.3936,0.1539,2449.8,4,173.667834289101,4,5.43323108288245,0.25
A19,Vaccinium myrtillus,VACMYR,4,8,15.175,68.575,17.86970684039088,0.41711956521739135,0.0736,0.0307,548.6,8,10.4654192462605,8,2.6487418396916933,0.5
A19,Vaccinium vitis-idaea,VACVIT,4,8,7.574999999999999,81.10000000000001,6.939037433155081,0.4292929292929293,0.2178,0.0935,648.8000000000001,8,12.5652582259862,8,0.8616843969807041,0
A8,Solidago virgaurea,SOLVIR,4,4,9.075,617.65,30.42610837438424,0.22161572052401746,0.3664,0.0812,2470.6,4,51.417798474847196,4,2.89410320018712,0
A8,Vaccinium vitis-idaea,VACVIT,4,8,6.45,93.975,6.623788546255506,0.47017398508699254,0.2414,0.1135,751.8,8,44.8528944757988,8,2.0680103158994796,0
A8,Vaccinium uliginosum,VACULI,4,8,10.424999999999999,122.88749999999999,14.963470319634704,0.38331388564760793,0.1714,0.0657,983.0999999999999,8,21.221918420081,8,3.3139855159611065,0
A6,Vaccinium vitis-idaea,VACVIT,4,8,6,59.18750000000001,8.03904923599321,0.39851150202977,0.1478,0.0589,473.50000000000006,8,16.6343394819271,8,1.4329456840136452,0
