plot,T1_mean,T1_absmax,T1_absmin,T1_meanmax,T1_meanmin,T3_mean,T3_absmax,T3_absmin,T3_meanmax,T3_meanmin,moist_sd,moist_cv,moist_mean,moist_absmax,moist_absmin,T1_TDD,T1_GDD3,T1_GDD5,T1_FDD,T3_TDD,T3_GDD3,T3_GDD5,T3_FDD,T1_mean_7,T1_mean_8,T1_mean_9,T1_absmax_7,T1_absmax_8,T1_absmax_9,T1_absmin_7,T1_absmin_8,T1_absmin_9,T1_meanmax_7,T1_meanmax_8,T1_meanmax_9,T1_meanmin_7,T1_meanmin_8,T1_meanmin_9,T3_mean_7,T3_mean_8,T3_mean_9,T3_absmax_7,T3_absmax_8,T3_absmax_9,T3_absmin_7,T3_absmin_8,T3_absmin_9,T3_meanmax_7,T3_meanmax_8,T3_meanmax_9,T3_meanmin_7,T3_meanmin_8,T3_meanmin_9,moist_sd_7,moist_sd_8,moist_sd_9,moist_cv_7,moist_cv_8,moist_cv_9,moist_mean_7,moist_mean_8,moist_mean_9,moist_absmax_7,moist_absmax_8,moist_absmax_9,moist_absmin_7,moist_absmin_8,moist_absmin_9
A1,7.04,11.75,3.12,7.73,6.45,7.61,30.75,-3.56,15.02,2.54,4.8,0.31,15.3,30.6,8.9,50693,50693,43516,0,55224,53394,49482,-447,8.7,8.29,4.71,11.75,11,7.12,6.56,5.88,3.12,9.59,9.06,5.19,8,7.64,4.26,10.35,9.48,3.97,30.75,28.88,17,1.62,-2.25,-3.56,19.53,17.46,9.74,5,3.61,-0.04,1.1,2.8,2.5,0.09,0.23,0.12,12,12.2,20.7,13.6,16.8,30.6,9.6,8.9,16.2
A10,7.84,13.25,3.62,8.66,7.12,8.1,31.69,-2.88,15.37,2.95,7.6,0.49,15.4,34.6,5.8,56468,56468,51211,0,58554,56794,52997,-277,9.65,9.11,5.42,13.25,12.25,7.94,7.38,6.69,3.62,10.82,10.06,5.88,8.63,8.26,4.98,11,10.02,4.3,31.69,28.38,15.88,1.94,-1.62,-2.88,20.11,18.16,9.56,5.39,4.12,0.25,0.9,5.5,3.3,0.12,0.45,0.14,7.7,12.2,23.4,9.1,21.9,34.6,5.8,5.8,17.6
A11,7.07,11.12,3.62,7.66,6.55,7.6,28.88,-3.38,13.96,2.72,8.6,0.52,16.4,38.4,7.2,50914,50914,44114,0,55096,53291,49517,-401,8.38,8.26,5.02,11.12,11,7.31,6.5,6,3.62,9.12,8.91,5.44,7.75,7.65,4.63,10.35,9.47,3.96,28.88,27.38,14.06,1.75,-2.25,-3.38,18.1,16.44,8.85,5.17,3.8,0.13,0.3,5.8,4.7,0.03,0.46,0.19,8,12.7,25.4,8.4,25.1,38.4,7.2,7.3,18.6
A12,7.59,13,3.38,8.42,6.89,7.94,29.94,-3.25,14.99,2.78,5.3,0.39,13.7,35.2,4.9,54630,54630,48245,0,57497,55824,52174,-373,9.29,8.93,5.13,13,12.38,7.81,6.94,6.31,3.38,10.33,9.92,5.68,8.43,8.11,4.65,10.63,9.85,4.28,29.94,27.5,16.19,2.12,-2,-3.25,18.89,17.52,9.98,5.23,3.87,0.19,2.1,3.6,3.5,0.19,0.34,0.18,10.6,10.4,19.2,13.9,17.3,35.2,6.7,4.9,13.8
A13,7.73,13.62,3.25,8.57,7.02,7.64,31.19,-3.88,14.33,2.54,6.7,0.4,16.6,36.9,7.1,55637,55637,49765,0,55455,53678,49927,-472,9.46,9.1,5.23,13.62,12.56,8,7.06,6.56,3.25,10.53,10.04,5.83,8.6,8.31,4.69,10.28,9.49,4.08,31.19,27.5,15.88,1.88,-2.38,-3.88,18.35,16.75,9.37,5.08,3.63,-0.12,0.8,4.8,3.4,0.08,0.34,0.14,9.3,14.1,23.4,11.9,25.8,36.9,7.1,7.7,18.5
A14,7.75,12.25,3.69,8.4,7.14,7.75,27.81,-3.38,13.92,2.67,5.3,0.33,15.9,41.7,7.7,55818,55818,51054,0,56192,54508,50767,-374,9.35,8.99,5.47,12.25,11.75,7.88,7.38,6.75,3.69,10.13,9.73,5.94,8.62,8.29,5.03,10.36,9.61,4.21,27.81,26.88,15.88,1.88,-2,-3.38,17.33,16.33,9.31,5.12,3.74,0.08,2.2,4.1,2.6,0.2,0.31,0.12,11.3,13.5,21.3,14.4,24.3,41.7,7.9,7.7,18.2
A15,7.75,12.62,3.75,8.51,7.08,7.86,31.62,-3.06,15.11,2.68,6.7,0.4,16.6,35.9,6.3,55757,55757,51264,0,56912,55133,51246,-365,9.2,8.96,5.56,12.62,11.88,8.12,7.25,6.62,3.75,10.2,9.88,6.03,8.36,8.16,5.15,10.44,9.8,4.22,31.62,29.06,16.12,1.69,-1.88,-3.06,18.84,18.06,9.72,5.11,3.82,0.02,1.4,4.6,2.5,0.15,0.34,0.11,9.8,13.6,23.9,11.7,20.6,35.9,6.5,6.3,19
A16,8.05,14.12,3,8.89,7.29,7.8,30.81,-3.06,14.32,3.11,8.6,0.67,12.7,35.9,1.2,57983,57983,51837,0,56427,54567,50696,-247,10.12,9.62,5.15,14.12,13.25,7.88,7.12,6.62,3,11.17,10.58,5.72,9.18,8.76,4.59,10.48,9.67,4.2,30.81,27.12,15.75,1.88,-1.88,-3.06,18.44,16.77,9.25,5.53,4.19,0.53,1.1,6,4.7,0.3,0.62,0.22,3.5,9.7,21.4,5.6,27.8,35.9,1.2,1.7,14.6
A17,7.58,13,3.12,8.4,6.73,7.81,30.12,-2.94,14.05,2.99,8.9,0.46,19.3,44.4,6.4,54587,54587,48143,0,56527,54703,50835,-275,9.38,8.95,5.04,13,12.62,7.94,6.81,6,3.12,10.41,9.86,5.63,8.3,7.98,4.45,10.68,9.66,4.13,30.12,27,16.31,1.94,-1.75,-2.94,18.8,16.64,8.48,5.38,4.1,0.39,1.8,6.7,4.2,0.18,0.41,0.15,9.8,16.1,28.3,13.1,32.8,44.4,6.4,6.5,22.6
A18,7.95,15.69,2.81,9.24,6.94,7.78,30.88,-3.25,14.31,2.78,6.3,0.53,11.9,30.2,1.5,57258,57235,51558,0,56356,54596,50762,-359,9.93,9.4,5.22,15.69,14.81,8.25,7.12,6.31,2.81,11.75,10.88,6,8.6,8.26,4.53,10.51,9.65,4.16,30.88,27.75,14.38,2,-2.12,-3.25,18.79,16.84,8.95,5.26,3.86,0.17,1.7,5.5,3.6,0.32,0.53,0.21,5.3,10.4,17.4,9.3,28.2,30.2,2.3,1.5,11.4
